Topic,Priority,Service,SentTime,ReceivedTime,TimeSpent
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:05:29.897782 +0000 UTC,2024-02-02 01:05:29.908805 +0000 GMT m=+9.626408564,11
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:08:23.949 +0000 GMT,2024-02-02 01:08:23.958058 +0000 GMT m=+17.619865878,9
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:08:31.594975 +0000 UTC,2024-02-02 01:08:31.616315 +0000 GMT m=+31.828365228,21
transfer_status,,transfer,2024-02-02 01:08:31.618 +0000 GMT,2024-02-02 01:08:31.627355 +0000 GMT m=+25.289210624,9
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:08:36.690116 +0000 UTC,2024-02-02 01:08:36.710342 +0000 GMT m=+36.922424430,20
transfer_status,,transfer,2024-02-02 01:08:36.718 +0000 GMT,2024-02-02 01:08:36.726508 +0000 GMT m=+30.388396400,8
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:14:03.99 +0000 GMT,2024-02-02 01:14:03.999724 +0000 GMT m=+357.659807659,9
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:14:08.218 +0000 GMT,2024-02-02 01:14:08.227136 +0000 GMT m=+361.887246356,9
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:14:31.427 +0000 GMT,2024-02-02 01:14:31.435479 +0000 GMT m=+385.095736173,8
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:23:44.378 +0000 GMT,2024-02-02 01:23:44.387253 +0000 GMT m=+16.648048753,9
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:23:49.208 +0000 GMT,2024-02-02 01:23:49.217507 +0000 GMT m=+21.478333143,9
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:23:52.974 +0000 GMT,2024-02-02 01:23:52.983492 +0000 GMT m=+25.244341719,9
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:24:01.355 +0000 GMT,2024-02-02 01:24:01.367756 +0000 GMT m=+33.628658776,12
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:24:09.987 +0000 GMT,2024-02-02 01:24:09.995698 +0000 GMT m=+42.256655198,8
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:25:09.123 +0000 GMT,2024-02-02 01:25:09.130786 +0000 GMT m=+101.392116571,7
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:25:41.431 +0000 GMT,2024-02-02 01:25:41.440859 +0000 GMT m=+133.702393087,9
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:26:04.752 +0000 GMT,2024-02-02 01:26:04.760568 +0000 GMT m=+157.022249065,8
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-02-02 01:26:16.094 +0000 GMT,2024-02-02 01:26:16.102582 +0000 GMT m=+168.364335247,8
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:26:35.288 +0000 GMT,2024-02-02 01:26:35.296009 +0000 GMT m=+187.557883563,8
