Priority,Partition,SentTime,ReceivedTime,TimeSpent,PayloadSize
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924543 +0000 GMT m=+10.450914434,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924654 +0000 GMT m=+10.451025394,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.92475 +0000 GMT m=+10.451121387,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924845 +0000 GMT m=+10.451216431,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924941 +0000 GMT m=+10.451312469,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925148 +0000 GMT m=+10.451519266,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925253 +0000 GMT m=+10.451623886,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925346 +0000 GMT m=+10.451717578,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925442 +0000 GMT m=+10.451813499,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925548 +0000 GMT m=+10.451919724,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925646 +0000 GMT m=+10.452017158,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925739 +0000 GMT m=+10.452110200,44,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.925839 +0000 GMT m=+10.452210663,44,83
